# Trino function catalog — SHOW FUNCTIONS over a live coordinator.
# Regenerate: ./gradlew harvestFunctionCatalog -Ptrino.harvest.url=...  (then commit)
# engine: Trino 483 | harvested: 2026-07-23
# rows: 442 (aggregate=57 scalar=372 table=2 window=11) | distinct names: 441 | raw SHOW FUNCTIONS rows: 900
# format: name<TAB>kind<TAB>return_type ; kind = lowercased "Function Type"; deduped by (name,kind), min return_type; sorted.
ST_Area	scalar	double
ST_AsBinary	scalar	varbinary
ST_AsEWKB	scalar	varbinary
ST_AsEWKT	scalar	varchar
ST_AsText	scalar	varchar
ST_Boundary	scalar	geometry
ST_Buffer	scalar	geometry
ST_Centroid	scalar	geometry
ST_Collect	scalar	geometry
ST_Contains	scalar	boolean
ST_ConvexHull	scalar	geometry
ST_CoordDim	scalar	tinyint
ST_Crosses	scalar	boolean
ST_Difference	scalar	geometry
ST_Dimension	scalar	tinyint
ST_Disjoint	scalar	boolean
ST_Distance	scalar	double
ST_EndPoint	scalar	geometry
ST_Envelope	scalar	geometry
ST_EnvelopeAsPts	scalar	array(geometry)
ST_Equals	scalar	boolean
ST_ExteriorRing	scalar	geometry
ST_Force2D	scalar	geometry
ST_Force3D	scalar	geometry
ST_GeomFromBinary	scalar	geometry
ST_GeomFromEWKT	scalar	geometry
ST_GeomFromKML	scalar	geometry
ST_Geometries	scalar	array(geometry)
ST_GeometryFromText	scalar	geometry
ST_GeometryN	scalar	geometry
ST_GeometryType	scalar	varchar
ST_InteriorRingN	scalar	geometry
ST_InteriorRings	scalar	array(geometry)
ST_Intersection	scalar	geometry
ST_Intersects	scalar	boolean
ST_IsClosed	scalar	boolean
ST_IsEmpty	scalar	boolean
ST_IsRing	scalar	boolean
ST_IsSimple	scalar	boolean
ST_IsValid	scalar	boolean
ST_Length	scalar	double
ST_LineFromText	scalar	geometry
ST_LineMerge	scalar	geometry
ST_LineString	scalar	geometry
ST_MakeLine	scalar	geometry
ST_MakePolygon	scalar	geometry
ST_MinimumBoundingCircle	scalar	geometry
ST_Multi	scalar	geometry
ST_MultiPoint	scalar	geometry
ST_Normalize	scalar	geometry
ST_NumGeometries	scalar	integer
ST_NumInteriorRing	scalar	bigint
ST_NumPoints	scalar	bigint
ST_OrientedEnvelope	scalar	geometry
